,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"3,999","2,502","2,109","3,376","4,002","2,126","7,266","6,942","1,838","7,394","1,894","4,996"
Cash from Investing Activity +,-517,"3,645","5,171","-1,865",-789,-313,"-4,316","-3,214",202,"-6,076",306,"-3,842"
Cash from Financing Activity +,"-3,449","-6,290","-7,249","-1,557","-3,201","-1,753","-2,591","-4,067","-2,067","-1,302","-2,225","-1,092"
Net Cash Flow,33,-144,31,-46,11,60,359,-339,-28,16,-25,63
Free Cash Flow,"1,185","-1,073",-211,"1,318","1,996",-278,"5,644","5,743",590,"5,547","-1,336","1,826"
CFO/OP,91%,157%,102%,99%,95%,73%,111%,89%,65%,126%,54%,85%
