,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,4,6,5,4
Cash from Investing Activity +,-6,-5,-3,0
Cash from Financing Activity +,1,2,3,-1
Net Cash Flow,-0,2,5,4
Free Cash Flow,-2,4,3,3
CFO/OP,72%,67%,58%,40%
