,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,38,32,55
Inventory Days,190,,,37
Days Payable,85,,,39
Cash Conversion Cycle,150,38,32,53
Working Capital Days,53,50,48,61
ROCE %,,29%,31%,35%
