,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,11,12,12
Reserves,17,20,32,45
Borrowings +,1,1,1,0
Other Liabilities +,6,7,10,18
Total Liabilities,29,39,54,75
Fixed Assets +,7,7,7,6
CWIP,0,0,0,0
Investments,2,8,9,0
Other Assets +,20,24,38,69
Total Assets,29,39,54,75
